name,coords,type,category,tags,address,website
Das Steinreich,"48.018134241892035, 9.499237495612906",Spezialbedarf,Einkaufen,,Kreuzgasse 3 ,https://www.instagram.com/das.steinreich?igsh=MTNidXlzYXhncWU0cA%3D%3D
Drogerie Müller,"48.021646463033434, 9.495351910958655",Drogerie,Einkaufen,"bio, fair, regional",Moosheimer Straße 29,https://www.mueller.de/storefinder/
GECO GmbH,"48.008098162034706, 9.511365562489452",Spezialbedarf,Einkaufen,,Platzstraße 24,https://www.gecode.de/kunden/unsere-filialen
Kreativ und Druck ,"48.0074782509012, 9.50704263222402",Spezialbedarf,Einkaufen,,Schwarzenbacher Straße 1,https://kreativ-u-druck.com/
Musik Markt Bad Saulgau ,"48.02402967036753, 9.494279682065502",Spezialbedarf,Einkaufen,,Moosheimer Straße 45 ,https://mmbs.de/
Schuler Edelmetalle ,"48.01626018349924, 9.500335734046155",Spezialbedarf,Einkaufen,,Paradiesstraße 3 ,https://www.schulergmbh.de/
Tabak Sturm,"48.01780401705046, 9.498416783888093",Spezialbedarf,Einkaufen,,Hauptstraße 44,
toom Baumarkt ,"48.00835021367855, 9.509453270368292",Spezialbedarf,Einkaufen,"bio, fair",Platzstraße 18,https://toom.de/
Pennymarkt ,"48.021561043290866, 9.495587353285885",Lebensmittel,Einkaufen,"bio, fair, regional",Moosheimer Straße 29,https://www.penny.de
Bäckerei Walter,"48.01951827020623, 9.497230127439554",Bäckerei,Einkaufen,regional,Moosheimer Straße 3 ,https://matthias-walter-baeckerei-und-konditorei.9gg.de/
Rund ums Rad ,"48.01505414274426, 9.502527512783407",Sport und Freizeit,Einkaufen,,Hauptstraße 95,https://www.rur-rolf-schmid.de/
Zweirad Sättele ,"48.014004902750976, 9.508877714899086",Sport und Freizeit,Einkaufen,,Elisabethenstraße 12,https://www.fahrradsaettele.de/
abellimento,"48.01692267969042, 9.49851937061444",Wohnen und Deko ,Einkaufen,,Lindenstraße 4,
Blumen Peter,"48.01624661281445, 9.50961706618064",Wohnen und Deko ,Einkaufen,"fair, regional",Liebfrauenstraße 43,https://www.blumen-peter.com/
Braun Möbel ,"48.00516823145, 9.508620758570528",Wohnen und Deko ,Einkaufen,bio,Schwarzenbacher Straße 9 ,https://www.braun-moebel.de/
Engler Wohnen und Objekt ,"48.01526291569671, 9.501769777684231",Wohnen und Deko ,Einkaufen,,Hauptstraße 100,https://www.engler-wohnenundobjekt.de
blütenzeit,"48.01575292736833, 9.501723190020316",Wohnen und Deko ,Einkaufen,,Hauptstraße 83,
JYSK,"48.02156451238798, 9.49482130083781",Wohnen und Deko ,Einkaufen,,Friedrich-List-Straße 10,https://jysk.de/
Kuloer conceptstore,"48.016457156717614, 9.500132369141683",Wohnen und Deko ,Einkaufen,"fair, regional",Paradiesstraße 2,https://www.kuloer-conceptstore.de/
Keckeisen Getränkefachmarkt,"48.01653790920778, 9.501422076477816",Lebensmittel,Einkaufen,regional,Pfarrstraße 26,
KWB Küche Wohnen Bad,"48.013336082875966, 9.499894237530123",Wohnen und Deko ,Einkaufen,,Paradiesstraße 27,https://kwb-riedlingen.de
Matratzen Concord ,"48.02279001163104, 9.487086373022155",Wohnen und Deko ,Einkaufen,,Herbertinger Straße 56,https://www.matratzen-concord-filialen.de/
Pfänder Malerfachgeschäft ,"48.018227798618504, 9.49803705294024",Wohnen und Deko ,Einkaufen,,Hauptstraße 34,https://maler-pfaender.de
Raumausstattung Schmötzer ,"48.01618137650699, 9.501143140104956",Wohnen und Deko ,Einkaufen,,Hauptstraße 73,https://www.schmoetzer-raum.de/
Steffi's Blumengarage ,"48.004050647776246, 9.5705603532851",Wohnen und Deko ,Einkaufen,"fair, regional",Karl-Fiesel-Straße 11 ,
Weißenrieder Betten und Matratzen,"48.01367551321737, 9.499414455140183",Wohnen und Deko ,Einkaufen,,Paradiesstraße 40 ,https://www.weissenrieder-bettenhaus.de/
Mrs. Greenery,"48.01654417011051, 9.500617653624495",Wohnen und Deko ,Einkaufen,regional,Hauptstraße 80,https://mrs-greenery.de/
Bohnenstengel ,"48.01378432830206, 9.501706603379057",Bar und Kneipe,Einkehren,"bio, regional",Karlstraße 11,http://www.bohnenstengel-slg.de/
Discothek Mausefalle ,"48.02501920872675, 9.49906026942267",Bar und Kneipe,Einkehren,regional,Martin-Staud-Straße 12,http://mausefalle-badsaulgau.com/
Dreikönig Stüble ,"48.01692830916939, 9.50046642662975",Bar und Kneipe,Einkehren,regional,Hauptstraße 55,https://www.dreikoenig-badsaulgau.de/
Franziskaner ,"48.01615094127059, 9.496581461700472",Bar und Kneipe,Einkehren,"bio, regional",Lindenstraße 15 ,http://franziskaner.online/
Getränke Bar Happy Quick,"48.019346392340275, 9.495444254365221",Bar und Kneipe,Einkehren,,Herbertinger Straße 9,
No Name ,"48.016249947259865, 9.499551969057299",Bar und Kneipe,Einkehren,regional,Bachstraße 13,
Schiff ,"48.016813657522206, 9.497740448529006",Bar und Kneipe,Einkehren,regional,Werderstraße 27,
Sportsbar,"48.022735777182085, 9.487184946378301",Bar und Kneipe,Einkehren,,Herbertinger Straße 56,
Zum Bösen Onkel,"48.0165497693399, 9.501436863869278",Bar und Kneipe,Einkehren,regional,Pfarrstraße 26,https://www.zumboesenonkel.de/
Zum Sternen ,"48.01916023057685, 9.503268223324667",Bar und Kneipe,Einkehren,regional,Schützenstraße 37,
Café Kostbar ,"48.01732795330514, 9.499664688160976",Café,Einkehren,regional,Marktplatz 2,https://kostbar-bad-saulgau.jimdofree.com
Café Rosengarten ,"48.01550280421024, 9.502947089544175",Café,Einkehren,"fair, regional",Friedrichstraße 6 ,https://baeckerei-konditorei-bochtler.de/standorte/
Schillers Café und Garten,"48.01849159241065, 9.495920655258743",Café,Einkehren,regional,Kirchberg 2,https://www.schillerssaulgau.de/
Café Wundertüte,"48.01695863979979, 9.500323194275383",Café,Einkehren,regional,Hauptstraße 55,https://www.instagram.com/wundertuete.slg/
Eiscafé Eisboutique ,"48.017467120999015, 9.499116584131313",Café,Einkehren,,Marktplatz 5,
Eiscafé Venedig ,"48.0156284119499, 9.501552400906494",Café,Einkehren,,Hauptstraße 96,https://www.facebook.com/venedigbadsaulgau
Klostercafé Sießen ,"48.00052953003529, 9.47538289306902",Café,Einkehren,"bio, fair, regional",Kloster Sießen 13 ,https://www.klostersiessen.de/kunst-und-kultur/cafe-im-klosterhof/
KSK Café,"48.01580908659787, 9.500782526818318",Café,Einkehren,regional,Werderstraße 3,https://www.instagram.com/cafe_dacris?igsh=aG42N3FiOW1nY2I3&utm_source=qr
Bey Kebap Haus ,"48.01969379138599, 9.49739698026747","Imbiss, Fastfood",Einkehren,,Moosheimer Straße 4,https://krediportal.com/bey-kebap-haus-agldd34
